Parameters 
Historical Customer:,80, Wait:,4.0, Average Shopping:,50.0, Queue:,5,
Values:,
Queue 0 amount:, 6, at 7,:06,
Queue 1 amount:, 5, at 7,:06,
Queue 2 amount:, 6, at 7,:06,
Queue 3 amount:, 5, at 7,:06,
Queue 4 amount:, 5, at 7,:06,
Queue 0 amount:, 6, at 7,:08,
Queue 1 amount:, 4, at 7,:08,
Queue 2 amount:, 5, at 7,:08,
Queue 3 amount:, 5, at 7,:08,
Queue 4 amount:, 5, at 7,:08,
Queue 0 amount:,6, at 7,:10,
Queue 1 amount:,4, at 7,:10,
Queue 2 amount:,5, at 7,:10,
Queue 3 amount:,5, at 7,:10,
Queue 4 amount:,6, at 7,:10,
Queue 0 amount:,5, at 7,:12,
Queue 1 amount:,3, at 7,:12,
Queue 2 amount:,4, at 7,:12,
Queue 3 amount:,5, at 7,:12,
Queue 4 amount:,5, at 7,:12,
Queue 0 amount:,4, at 7,:14,
Queue 1 amount:,3, at 7,:14,
Queue 2 amount:,3, at 7,:14,
Queue 3 amount:,4, at 7,:14,
Queue 4 amount:,5, at 7,:14,
Queue 0 amount:,4, at 7,:16,
Queue 1 amount:,2, at 7,:16,
Queue 2 amount:,3, at 7,:16,
Queue 3 amount:,4, at 7,:16,
Queue 4 amount:,4, at 7,:16,
Queue 0 amount:,3, at 7,:18,
Queue 1 amount:,2, at 7,:18,
Queue 2 amount:,3, at 7,:18,
Queue 3 amount:,4, at 7,:18,
Queue 4 amount:,3, at 7,:18,
Queue 0 amount:,3, at 7,:20,
Queue 1 amount:,3, at 7,:20,
Queue 2 amount:,3, at 7,:20,
Queue 3 amount:,4, at 7,:20,
Queue 4 amount:,3, at 7,:20,
Queue 0 amount:,3, at 7,:22,
Queue 1 amount:,2, at 7,:22,
Queue 2 amount:,2, at 7,:22,
Queue 3 amount:,3, at 7,:22,
Queue 4 amount:,2, at 7,:22,
Queue 0 amount:,2, at 7,:24,
Queue 1 amount:,2, at 7,:24,
Queue 2 amount:,2, at 7,:24,
Queue 3 amount:,2, at 7,:24,
Queue 4 amount:,2, at 7,:24,
Queue 0 amount:,3, at 7,:26,
Queue 1 amount:,2, at 7,:26,
Queue 2 amount:,2, at 7,:26,
Queue 3 amount:,3, at 7,:26,
Queue 4 amount:,3, at 7,:26,
Queue 0 amount:,2, at 7,:28,
Queue 1 amount:,1, at 7,:28,
Queue 2 amount:,1, at 7,:28,
Queue 3 amount:,3, at 7,:28,
Queue 4 amount:,2, at 7,:28,
Queue 0 amount:,2, at 7,:30,
Queue 1 amount:,1, at 7,:30,
Queue 2 amount:,2, at 7,:30,
Queue 3 amount:,2, at 7,:30,
Queue 4 amount:,2, at 7,:30,
Queue 0 amount:,1, at 7,:32,
Queue 1 amount:,1, at 7,:32,
Queue 2 amount:,1, at 7,:32,
Queue 3 amount:,1, at 7,:32,
Queue 4 amount:,2, at 7,:32,
Queue 4 amount:,1, at 7,:34,
Queue 0 amount:,1, at 7,:36,
Queue 4 amount:,1, at 7,:36,
Queue 0 amount:,1, at 7,:38,
Queue 0 amount:,1, at 7,:40,
Queue 0 amount:,1, at 7,:42,
Queue 0 amount:,1, at 7,:44,
Queue 0 amount:,1, at 7,:46,
Queue 2 amount:,1, at 7,:46,
Queue 3 amount:,1, at 7,:46,
Queue 4 amount:,1, at 7,:46,
Queue 2 amount:,1, at 7,:48,
Queue 4 amount:,1, at 7,:48,
Queue 4 amount:,1, at 7,:50,
Queue 0 amount:, 1, at 8,:00,
Queue 0 amount:, 1, at 8,:02,
Queue 0 amount:, 1, at 8,:04,
Queue 0 amount:, 1, at 8,:06,
Queue 4 amount:, 1, at 8,:06,
Queue 0 amount:,2, at 8,:10,
Queue 1 amount:,1, at 8,:10,
Queue 2 amount:,1, at 8,:10,
Queue 3 amount:,2, at 8,:10,
Queue 4 amount:,2, at 8,:10,
Queue 0 amount:,2, at 8,:12,
Queue 1 amount:,1, at 8,:12,
Queue 2 amount:,1, at 8,:12,
Queue 3 amount:,1, at 8,:12,
Queue 4 amount:,1, at 8,:12,
Queue 0 amount:,1, at 8,:14,
Queue 2 amount:,1, at 8,:14,
Queue 3 amount:,1, at 8,:14,
Queue 0 amount:,1, at 8,:16,
Queue 2 amount:,1, at 8,:16,
Queue 4 amount:,1, at 8,:16,
Queue 0 amount:,1, at 8,:18,
Queue 0 amount:,1, at 8,:20,
Queue 4 amount:,1, at 8,:20,
Queue 0 amount:,1, at 8,:26,
Queue 1 amount:,1, at 8,:26,
Queue 2 amount:,1, at 8,:26,
Queue 3 amount:,1, at 8,:26,
Queue 4 amount:,1, at 8,:26,
Queue 0 amount:,1, at 8,:28,
Queue 2 amount:,1, at 8,:28,
Queue 3 amount:,1, at 8,:28,
Queue 4 amount:,1, at 8,:28,
Queue 0 amount:,3, at 8,:30,
Queue 1 amount:,2, at 8,:30,
Queue 2 amount:,2, at 8,:30,
Queue 3 amount:,2, at 8,:30,
Queue 4 amount:,3, at 8,:30,
Queue 0 amount:,3, at 8,:32,
Queue 1 amount:,2, at 8,:32,
Queue 2 amount:,1, at 8,:32,
Queue 3 amount:,2, at 8,:32,
Queue 4 amount:,2, at 8,:32,
Queue 0 amount:,2, at 8,:34,
Queue 1 amount:,1, at 8,:34,
Queue 3 amount:,2, at 8,:34,
Queue 4 amount:,2, at 8,:34,
Queue 0 amount:,2, at 8,:36,
Queue 1 amount:,1, at 8,:36,
Queue 2 amount:,1, at 8,:36,
Queue 3 amount:,2, at 8,:36,
Queue 4 amount:,2, at 8,:36,
Queue 0 amount:,1, at 8,:38,
Queue 2 amount:,1, at 8,:38,
Queue 3 amount:,2, at 8,:38,
Queue 4 amount:,2, at 8,:38,
Queue 0 amount:,2, at 8,:40,
Queue 1 amount:,1, at 8,:40,
Queue 2 amount:,1, at 8,:40,
Queue 3 amount:,2, at 8,:40,
Queue 4 amount:,1, at 8,:40,
Queue 0 amount:,1, at 8,:42,
Queue 1 amount:,1, at 8,:42,
Queue 2 amount:,1, at 8,:42,
Queue 3 amount:,2, at 8,:42,
Queue 4 amount:,1, at 8,:42,
Queue 0 amount:,1, at 8,:44,
Queue 1 amount:,1, at 8,:44,
Queue 3 amount:,1, at 8,:44,
Queue 3 amount:,1, at 8,:46,
Queue 3 amount:,1, at 8,:48,
Queue 0 amount:,1, at 8,:50,
Queue 0 amount:,1, at 8,:52,
Queue 0 amount:,1, at 8,:56,
Queue 1 amount:,1, at 8,:56,
Queue 2 amount:,1, at 8,:56,
Queue 3 amount:,1, at 8,:56,
Queue 4 amount:,1, at 8,:56,
Queue 1 amount:,1, at 8,:58,
Queue 3 amount:,1, at 8,:58,
Queue 4 amount:,1, at 8,:58,
Queue 0 amount:, 2, at 9,:00,
Queue 1 amount:, 2, at 9,:00,
Queue 2 amount:, 2, at 9,:00,
Queue 3 amount:, 2, at 9,:00,
Queue 4 amount:, 2, at 9,:00,
Queue 0 amount:, 1, at 9,:02,
Queue 1 amount:, 2, at 9,:02,
Queue 2 amount:, 1, at 9,:02,
Queue 3 amount:, 1, at 9,:02,
Queue 4 amount:, 1, at 9,:02,
Queue 0 amount:, 1, at 9,:04,
Queue 1 amount:, 1, at 9,:04,
Queue 2 amount:, 1, at 9,:04,
Queue 3 amount:, 1, at 9,:04,
Queue 0 amount:, 2, at 9,:06,
Queue 1 amount:, 1, at 9,:06,
Queue 2 amount:, 1, at 9,:06,
Queue 3 amount:, 1, at 9,:06,
Queue 4 amount:, 1, at 9,:06,
Queue 0 amount:, 2, at 9,:08,
Queue 1 amount:, 1, at 9,:08,
Queue 0 amount:,2, at 9,:10,
Queue 2 amount:,2, at 9,:10,
Queue 3 amount:,2, at 9,:10,
Queue 4 amount:,2, at 9,:10,
Queue 0 amount:,2, at 9,:12,
Queue 2 amount:,1, at 9,:12,
Queue 3 amount:,2, at 9,:12,
Queue 4 amount:,1, at 9,:12,
Queue 0 amount:,1, at 9,:14,
Queue 3 amount:,2, at 9,:14,
Queue 0 amount:,1, at 9,:16,
Queue 3 amount:,1, at 9,:16,
Queue 4 amount:,1, at 9,:16,
Queue 0 amount:,1, at 9,:18,
Queue 3 amount:,1, at 9,:18,
Queue 0 amount:,1, at 9,:20,
Queue 4 amount:,1, at 9,:20,
Queue 0 amount:,1, at 9,:26,
Queue 2 amount:,1, at 9,:26,
Queue 3 amount:,1, at 9,:26,
Queue 4 amount:,1, at 9,:26,
Queue 0 amount:,1, at 9,:28,
Queue 2 amount:,1, at 9,:28,
Queue 0 amount:,2, at 9,:30,
Queue 1 amount:,1, at 9,:30,
Queue 2 amount:,1, at 9,:30,
Queue 3 amount:,1, at 9,:30,
Queue 4 amount:,2, at 9,:30,
Queue 0 amount:,2, at 9,:32,
Queue 3 amount:,1, at 9,:32,
Queue 4 amount:,1, at 9,:32,
Queue 0 amount:,2, at 9,:34,
Queue 3 amount:,1, at 9,:34,
Queue 0 amount:,2, at 9,:36,
Queue 2 amount:,2, at 9,:36,
Queue 3 amount:,2, at 9,:36,
Queue 4 amount:,2, at 9,:36,
Queue 0 amount:,1, at 9,:38,
Queue 2 amount:,1, at 9,:38,
Queue 3 amount:,2, at 9,:38,
Queue 4 amount:,2, at 9,:38,
Queue 0 amount:,2, at 9,:40,
Queue 1 amount:,1, at 9,:40,
Queue 2 amount:,1, at 9,:40,
Queue 3 amount:,1, at 9,:40,
Queue 4 amount:,1, at 9,:40,
Queue 0 amount:,2, at 9,:42,
Queue 1 amount:,1, at 9,:42,
Queue 2 amount:,1, at 9,:42,
Queue 3 amount:,1, at 9,:42,
Queue 4 amount:,1, at 9,:42,
Queue 0 amount:,1, at 9,:44,
Queue 1 amount:,1, at 9,:44,
Queue 3 amount:,1, at 9,:44,
Queue 0 amount:,1, at 9,:46,
Queue 4 amount:,1, at 9,:46,
Queue 0 amount:,1, at 9,:48,
Queue 0 amount:,1, at 9,:50,
Queue 4 amount:,1, at 9,:50,
Queue 0 amount:,1, at 9,:52,
Queue 4 amount:,1, at 9,:52,
Queue 0 amount:,1, at 9,:54,
Queue 0 amount:,1, at 9,:56,
Queue 0 amount:,1, at 9,:58,
Queue 0 amount:,1, at 10,:16,
Queue 0 amount:,1, at 10,:18,
Queue 0 amount:,1, at 10,:20,
Queue 0 amount:,1, at 10,:26,
Queue 2 amount:,1, at 10,:26,
Queue 3 amount:,1, at 10,:26,
Queue 4 amount:,1, at 10,:26,
Queue 0 amount:,1, at 10,:28,
Queue 2 amount:,1, at 10,:28,
Queue 4 amount:,1, at 10,:28,
Queue 0 amount:,2, at 10,:30,
Queue 1 amount:,1, at 10,:30,
Queue 2 amount:,1, at 10,:30,
Queue 3 amount:,1, at 10,:30,
Queue 4 amount:,1, at 10,:30,
Queue 0 amount:,1, at 10,:32,
Queue 1 amount:,1, at 10,:32,
Queue 3 amount:,1, at 10,:32,
Queue 3 amount:,1, at 10,:34,
Queue 0 amount:,1, at 10,:36,
Queue 3 amount:,1, at 10,:36,
Queue 4 amount:,1, at 10,:36,
Queue 3 amount:,1, at 10,:38,
Queue 4 amount:,1, at 10,:38,
Queue 0 amount:,1, at 10,:40,
Queue 2 amount:,1, at 10,:40,
Queue 3 amount:,1, at 10,:40,
Queue 4 amount:,1, at 10,:40,
Queue 0 amount:,1, at 10,:42,
Queue 2 amount:,1, at 10,:42,
Queue 3 amount:,1, at 10,:42,
Queue 0 amount:,1, at 10,:46,
Queue 4 amount:,1, at 10,:46,
Queue 4 amount:,1, at 10,:48,
Queue 0 amount:,1, at 10,:50,
Queue 4 amount:,1, at 10,:50,
Queue 0 amount:,1, at 10,:52,
Queue 0 amount:,1, at 10,:54,
Queue 0 amount:,1, at 10,:56,
Queue 2 amount:,1, at 10,:56,
Queue 3 amount:,1, at 10,:56,
Queue 4 amount:,1, at 10,:56,
Queue 0 amount:,1, at 10,:58,
Queue 0 amount:, 1, at 11,:00,
Queue 0 amount:, 1, at 11,:06,
Queue 2 amount:, 1, at 11,:06,
Queue 3 amount:, 1, at 11,:06,
Queue 4 amount:, 1, at 11,:06,
Queue 0 amount:, 1, at 11,:08,
Queue 2 amount:, 1, at 11,:08,
Queue 4 amount:, 1, at 11,:08,
Queue 0 amount:,2, at 11,:10,
Queue 1 amount:,1, at 11,:10,
Queue 2 amount:,1, at 11,:10,
Queue 3 amount:,1, at 11,:10,
Queue 4 amount:,2, at 11,:10,
Queue 0 amount:,1, at 11,:12,
Queue 2 amount:,1, at 11,:12,
Queue 4 amount:,2, at 11,:12,
Queue 4 amount:,2, at 11,:14,
Queue 0 amount:,1, at 11,:16,
Queue 2 amount:,1, at 11,:16,
Queue 3 amount:,1, at 11,:16,
Queue 4 amount:,2, at 11,:16,
Queue 0 amount:,1, at 11,:18,
Queue 3 amount:,1, at 11,:18,
Queue 4 amount:,2, at 11,:18,
Queue 0 amount:,2, at 11,:20,
Queue 1 amount:,2, at 11,:20,
Queue 2 amount:,2, at 11,:20,
Queue 3 amount:,2, at 11,:20,
Queue 4 amount:,2, at 11,:20,
Queue 0 amount:,1, at 11,:22,
Queue 1 amount:,2, at 11,:22,
Queue 2 amount:,1, at 11,:22,
Queue 3 amount:,2, at 11,:22,
Queue 4 amount:,1, at 11,:22,
Queue 1 amount:,2, at 11,:24,
Queue 2 amount:,1, at 11,:24,
Queue 3 amount:,1, at 11,:24,
Queue 0 amount:,1, at 11,:26,
Queue 1 amount:,1, at 11,:26,
Queue 3 amount:,1, at 11,:26,
Queue 4 amount:,1, at 11,:26,
Queue 1 amount:,1, at 11,:28,
Queue 3 amount:,1, at 11,:28,
Queue 4 amount:,1, at 11,:28,
Queue 0 amount:,2, at 11,:30,
Queue 1 amount:,1, at 11,:30,
Queue 2 amount:,2, at 11,:30,
Queue 3 amount:,2, at 11,:30,
Queue 4 amount:,2, at 11,:30,
Queue 0 amount:,1, at 11,:32,
Queue 2 amount:,2, at 11,:32,
Queue 3 amount:,1, at 11,:32,
Queue 4 amount:,2, at 11,:32,
Queue 2 amount:,2, at 11,:34,
Queue 4 amount:,2, at 11,:34,
Queue 0 amount:,2, at 11,:36,
Queue 1 amount:,2, at 11,:36,
Queue 2 amount:,2, at 11,:36,
Queue 3 amount:,2, at 11,:36,
Queue 4 amount:,2, at 11,:36,
Queue 0 amount:,1, at 11,:38,
Queue 1 amount:,2, at 11,:38,
Queue 2 amount:,2, at 11,:38,
Queue 3 amount:,1, at 11,:38,
Queue 4 amount:,2, at 11,:38,
Queue 0 amount:,2, at 11,:40,
Queue 1 amount:,1, at 11,:40,
Queue 2 amount:,2, at 11,:40,
Queue 3 amount:,1, at 11,:40,
Queue 4 amount:,1, at 11,:40,
Queue 0 amount:,2, at 11,:42,
Queue 1 amount:,1, at 11,:42,
Queue 2 amount:,1, at 11,:42,
Queue 3 amount:,1, at 11,:42,
Queue 4 amount:,1, at 11,:42,
Queue 0 amount:,2, at 11,:44,
Queue 1 amount:,1, at 11,:44,
Queue 2 amount:,1, at 11,:44,
Queue 3 amount:,1, at 11,:44,
Queue 0 amount:,2, at 11,:46,
Queue 4 amount:,2, at 11,:46,
Queue 0 amount:,1, at 11,:48,
Queue 4 amount:,2, at 11,:48,
Queue 0 amount:,1, at 11,:50,
Queue 3 amount:,1, at 11,:50,
Queue 4 amount:,1, at 11,:50,
Queue 3 amount:,1, at 11,:52,
Queue 4 amount:,1, at 11,:52,
Queue 3 amount:,1, at 11,:54,
Queue 4 amount:,1, at 11,:54,
Queue 3 amount:,1, at 11,:56,
Queue 4 amount:,1, at 11,:56,
Queue 0 amount:,1, at 12,:16,
Queue 0 amount:,1, at 12,:18,
Queue 0 amount:,1, at 12,:20,
Queue 1 amount:,1, at 12,:20,
Queue 2 amount:,1, at 12,:20,
Queue 3 amount:,1, at 12,:20,
Queue 4 amount:,1, at 12,:20,
Queue 0 amount:,1, at 12,:22,
Queue 1 amount:,1, at 12,:22,
Queue 2 amount:,1, at 12,:22,
Queue 3 amount:,1, at 12,:22,
Queue 1 amount:,1, at 12,:24,
Queue 3 amount:,1, at 12,:24,
Queue 0 amount:,1, at 12,:26,
Queue 1 amount:,1, at 12,:26,
Queue 2 amount:,1, at 12,:26,
Queue 3 amount:,1, at 12,:26,
Queue 4 amount:,1, at 12,:26,
Queue 3 amount:,1, at 12,:28,
