Parameters 
Historical Customer:,80, Wait:,4.0, Average Shopping:,50.0, Queue:,5,
Values:,
Customer,145, Arrival time,8,:20,Exit time:,8: 40, Time spent:21
Customer,146, Arrival time,8,:20,Exit time:,9: 0, Time spent:41
Customer,147, Arrival time,8,:20,Exit time:,8: 44, Time spent:25
Customer,148, Arrival time,8,:20,Exit time:,8: 34, Time spent:15
Customer,149, Arrival time,8,:20,Exit time:,8: 36, Time spent:17
Customer,150, Arrival time,8,:20,Exit time:,8: 26, Time spent:7
Customer,151, Arrival time,8,:20,Exit time:,8: 44, Time spent:25
Customer,152, Arrival time,8,:20,Exit time:,8: 42, Time spent:23
Customer,153, Arrival time,8,:20,Exit time:,8: 52, Time spent:33
Customer,154, Arrival time,8,:20,Exit time:,9: 0, Time spent:41
Customer,155, Arrival time,8,:20,Exit time:,8: 48, Time spent:29
Customer,156, Arrival time,8,:45,Exit time:,8: 58, Time spent:14
Customer,157, Arrival time,8,:45,Exit time:,8: 56, Time spent:12
Customer,158, Arrival time,8,:45,Exit time:,9: 0, Time spent:16
Customer,159, Arrival time,8,:45,Exit time:,9: 10, Time spent:26
Customer,160, Arrival time,8,:45,Exit time:,9: 12, Time spent:28
Customer,161, Arrival time,8,:45,Exit time:,9: 0, Time spent:16
Customer,162, Arrival time,8,:45,Exit time:,9: 14, Time spent:30
Customer,163, Arrival time,8,:45,Exit time:,9: 2, Time spent:18
Customer,164, Arrival time,8,:45,Exit time:,9: 4, Time spent:20
Customer,165, Arrival time,8,:45,Exit time:,9: 18, Time spent:34
Customer,166, Arrival time,8,:45,Exit time:,9: 2, Time spent:18
Customer,167, Arrival time,8,:45,Exit time:,9: 12, Time spent:28
Customer,168, Arrival time,8,:45,Exit time:,9: 6, Time spent:22
Customer,169, Arrival time,8,:45,Exit time:,9: 6, Time spent:22
Customer,170, Arrival time,8,:45,Exit time:,9: 8, Time spent:24
Customer,171, Arrival time,8,:45,Exit time:,9: 10, Time spent:26
Customer,172, Arrival time,8,:45,Exit time:,9: 6, Time spent:22
Customer,173, Arrival time,8,:45,Exit time:,9: 14, Time spent:30
Customer,174, Arrival time,8,:45,Exit time:,9: 12, Time spent:28
Customer,175, Arrival time,8,:45,Exit time:,9: 36, Time spent:52
Customer,176, Arrival time,9,:10,Exit time:,9: 38, Time spent:29
Customer,177, Arrival time,9,:10,Exit time:,9: 28, Time spent:19
Customer,178, Arrival time,9,:10,Exit time:,9: 26, Time spent:17
Customer,179, Arrival time,9,:10,Exit time:,9: 42, Time spent:33
Customer,180, Arrival time,9,:10,Exit time:,9: 20, Time spent:11
Customer,181, Arrival time,9,:10,Exit time:,9: 44, Time spent:35
Customer,182, Arrival time,9,:10,Exit time:,9: 20, Time spent:11
Customer,183, Arrival time,9,:10,Exit time:,9: 54, Time spent:45
Customer,184, Arrival time,9,:10,Exit time:,9: 30, Time spent:21
Customer,185, Arrival time,9,:10,Exit time:,9: 38, Time spent:29
Customer,186, Arrival time,9,:10,Exit time:,9: 16, Time spent:7
Customer,187, Arrival time,9,:10,Exit time:,9: 30, Time spent:21
Customer,188, Arrival time,9,:10,Exit time:,9: 30, Time spent:21
Customer,189, Arrival time,9,:15,Exit time:,9: 42, Time spent:28
Customer,190, Arrival time,9,:15,Exit time:,9: 32, Time spent:18
Customer,191, Arrival time,9,:15,Exit time:,9: 26, Time spent:12
Customer,192, Arrival time,9,:15,Exit time:,9: 44, Time spent:30
Customer,193, Arrival time,9,:15,Exit time:,9: 58, Time spent:44
Customer,194, Arrival time,9,:15,Exit time:,9: 28, Time spent:14
Customer,195, Arrival time,9,:30,Exit time:,9: 36, Time spent:7
Customer,196, Arrival time,9,:30,Exit time:,9: 48, Time spent:19
Customer,197, Arrival time,9,:30,Exit time:,9: 52, Time spent:23
Customer,198, Arrival time,9,:30,Exit time:,9: 46, Time spent:17
Customer,199, Arrival time,9,:30,Exit time:,9: 44, Time spent:15
Customer,200, Arrival time,9,:30,Exit time:,9: 42, Time spent:13
Customer,201, Arrival time,10,:0,Exit time:,10: 34, Time spent:35
Customer,202, Arrival time,10,:0,Exit time:,10: 30, Time spent:31
Customer,203, Arrival time,10,:0,Exit time:,10: 20, Time spent:21
Customer,204, Arrival time,10,:0,Exit time:,10: 42, Time spent:43
Customer,205, Arrival time,10,:0,Exit time:,10: 18, Time spent:19
Customer,206, Arrival time,10,:0,Exit time:,10: 46, Time spent:47
Customer,207, Arrival time,10,:20,Exit time:,10: 36, Time spent:17
Customer,208, Arrival time,10,:20,Exit time:,11: 0, Time spent:41
Customer,209, Arrival time,10,:20,Exit time:,10: 50, Time spent:31
Customer,210, Arrival time,10,:20,Exit time:,10: 32, Time spent:13
Customer,211, Arrival time,10,:20,Exit time:,10: 30, Time spent:11
Customer,212, Arrival time,10,:20,Exit time:,10: 56, Time spent:37
Customer,213, Arrival time,10,:20,Exit time:,10: 32, Time spent:13
Customer,214, Arrival time,10,:20,Exit time:,10: 26, Time spent:7
Customer,215, Arrival time,10,:20,Exit time:,10: 40, Time spent:21
Customer,216, Arrival time,10,:20,Exit time:,10: 30, Time spent:11
Customer,217, Arrival time,10,:20,Exit time:,10: 42, Time spent:23
Customer,218, Arrival time,10,:20,Exit time:,11: 10, Time spent:51
